X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,5270044924317;-34,6499217122;1005774;PARADA NO OFICIAL;SUAREZ, JOSE LEON;993;;;{4};SUAREZ, JOSE LEON 993;SUAREZ, JOSE LEON;993;94.159.874.947.599.900.000;97.707.145.680.500.000.000;F;;;RELEVAMIENTO2015;T;16/4/2015
-58,4250743174727;-34,6501004698;1006795;PARADAS DE POSTE;MORENO, PERITO AV.;1281;VEDIA, AGUSTIN DE;;{46};MORENO, PERITO AV. 1281;MORENO, PERITO AV.;1281;103.504.341.040.000.000.000;97.688.552.295.899.900.000;F;;;RELEVAMIENTO2015;T;10/4/2015
-58,4079939901148;-34,6501958177;1005839;PARADA NO OFICIAL;PEPIRI;1093;;;{150};PEPIRI 1093;PEPIRI;1093;105.070.175.182.000.000.000;97.677.257.604.600.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,4163666602150;-34,6516789352;20353;;;;;;{115,91};;;;104.302.535.435.080.000.000;97.513.113.972.841.700.000;T;POMPEYA;SAENZ AV.&&TRAFUL;USIG;T;12/10/2016
-58,4938825773207;-34,6531544092;1006588;PARADAS DE POSTE;DIRECTORIO AV.;5349;;;{104,55};DIRECTORIO AV. 5349;DIRECTORIO AV.;5349;97.196.445.736.199.900.000;97.349.967.653.600.000.000;F;;;RELEVAMIENTO2015;T;4/2/2015
-58,4165902783664;-34,6537058865;1005886;PARADA NO OFICIAL;SAENZ AV.;1151;;;{177,75};SAENZ AV. 1151;SAENZ AV.;1151;104.281.932.724.000.000.000;97.288.265.123.100.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,4174656857924;-34,6547765908;1006531;PARADA NO OFICIAL;RABANAL, FRANCISCO, INTENDENTE AV.;1317;;;{44};RABANAL, FRANCISCO, INTENDENTE AV. 1317;RABANAL, FRANCISCO, INTENDENTE AV.;1317;104.201.629.856.000.000.000;97.169.523.720.099.900.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,4352328693916;-34,6584668019;1006083;PARADA NO OFICIAL;VARELA AV.;3112;;;{6};VARELA AV. 3112;VARELA AV.;3112;102.572.802.328.000.000.000;96.760.740.395.899.900.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,4330134430965;-34,6614990532;20348;;;;;;{115,76,91};;;;102.776.148.769.318.000.000;96.424.301.875.235.200.000;T;VARELA;RABANAL, FRANCISCO, INTENDENTE AV.&&VARELA AV.;USIG;T;12/10/2016
-58,5003311880766;-34,6624265935;395;;;;;;{80};;;;96.605.674.912.784.100.000;96.321.162.462.390.900.000;F;;DE LA TORRE, LISANDRO AV.&&PUPILLO, LIBORIO, PASEO;USIG;F;8/11/2016
-58,4725153392206;-34,6627727756;13347;;;;;;{56,91};;;;99.155.320.312.500.000.000;96.283.359.375.000.000.000;F;;AUTOPISTA DELLEPIANE LUIS TTE. GRAL.&&DELLEPIANE, LUIS, TTE. GRAL.;USIG;F;8/11/2016
-58,5003849002161;-34,6629251150;1006454;PARADAS DE POSTE;DE LOS CORRALES AV.;6532;;;{126};DE LOS CORRALES AV. 6532;DE LOS CORRALES AV.;6532;96.600.772.266.700.000.000;96.265.857.438.499.900.000;F;;;RELEVAMIENTO2015;T;13/4/2015
